character,unicode,sentiment,label
😂,0x1f602,0.221,FACE WITH TEARS OF JOY
❤,0x2764,0.746,HEAVY BLACK HEART
♥,0x2665,0.657,BLACK HEART SUIT
😍,0x1f60d,0.678,SMILING FACE WITH HEART-SHAPED EYES
😭,0x1f62d,-0.093,LOUDLY CRYING FACE
😘,0x1f618,0.701,FACE THROWING A KISS
😊,0x1f60a,0.644,SMILING FACE WITH SMILING EYES
👌,0x1f44c,0.563,OK HAND SIGN
💕,0x1f495,0.632,TWO HEARTS
👏,0x1f44f,0.520,CLAPPING HANDS SIGN
😁,0x1f601,0.449,GRINNING FACE WITH SMILING EYES
☺,0x263a,0.657,WHITE SMILING FACE
♡,0x2661,0.669,WHITE HEART SUIT
👍,0x1f44d,0.521,THUMBS UP SIGN
😩,0x1f629,-0.368,WEARY FACE
🙏,0x1f64f,0.417,PERSON WITH FOLDED HANDS
✌,0x270c,0.463,VICTORY HAND
😏,0x1f60f,0.332,SMIRKING FACE
😉,0x1f609,0.463,WINKING FACE
🙌,0x1f64c,0.559,PERSON RAISING BOTH HANDS IN CELEBRATION
🙈,0x1f648,0.432,SEE-NO-EVIL MONKEY
💪,0x1f4aa,0.555,FLEXED BICEPS
😄,0x1f604,0.421,SMILING FACE WITH OPEN MOUTH AND SMILING EYES
😒,0x1f612,-0.374,UNAMUSED FACE
💃,0x1f483,0.734,DANCER
💖,0x1f496,0.712,SPARKLING HEART
😃,0x1f603,0.557,SMILING FACE WITH OPEN MOUTH
😔,0x1f614,-0.146,PENSIVE FACE
😱,0x1f631,0.190,FACE SCREAMING IN FEAR
🎉,0x1f389,0.738,PARTY POPPER
😜,0x1f61c,0.455,FACE WITH STUCK-OUT TONGUE AND WINKING EYE
☯,0x262f,0.001,YIN YANG
🌸,0x1f338,0.650,CHERRY BLOSSOM
💜,0x1f49c,0.654,PURPLE HEART
💙,0x1f499,0.730,BLUE HEART
✨,0x2728,0.351,SPARKLES
😳,0x1f633,0.018,FLUSHED FACE
💗,0x1f497,0.657,GROWING HEART
★,0x2605,0.283,BLACK STAR
█,0x2588,-0.032,FULL BLOCK
☀,0x2600,0.465,BLACK SUN WITH RAYS
😡,0x1f621,-0.173,POUTING FACE
😎,0x1f60e,0.491,SMILING FACE WITH SUNGLASSES
😢,0x1f622,0.007,CRYING FACE
💋,0x1f48b,0.691,KISS MARK
😋,0x1f60b,0.631,FACE SAVOURING DELICIOUS FOOD
🙊,0x1f64a,0.459,SPEAK-NO-EVIL MONKEY
😴,0x1f634,-0.080,SLEEPING FACE
🎶,0x1f3b6,0.537,MULTIPLE MUSICAL NOTES
💞,0x1f49e,0.739,REVOLVING HEARTS
😌,0x1f60c,0.482,RELIEVED FACE
🔥,0x1f525,0.139,FIRE
💯,0x1f4af,0.120,HUNDRED POINTS SYMBOL
🔫,0x1f52b,-0.194,PISTOL
💛,0x1f49b,0.709,YELLOW HEART
💁,0x1f481,0.326,INFORMATION DESK PERSON
💚,0x1f49a,0.656,GREEN HEART
♫,0x266b,0.287,BEAMED EIGHTH NOTES
